id,name,code,user_type_id/id,chart_template_id/id,reconcile
l10n_cn_6111,投资收益,6111,account.data_account_type_other_income,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_6301,营业外收入,6301,account.data_account_type_other_income,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_6401,主营业务成本,6401,account.data_account_type_expenses,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_6402,其他业务成本,6402,account.data_account_type_expenses,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_6403,营业税金及附加,6403,account.data_account_type_expenses,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_6601,销售费用,6601,account.data_account_type_expenses,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_6602,管理费用,6602,account.data_account_type_expenses,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_6603,财务费用,6603,account.data_account_type_expenses,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_6701,资产减值损失,6701,account.data_account_type_expenses,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_6711,营业外支出,6711,account.data_account_type_expenses,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_6801,所得税费用,6801,account.data_account_type_expenses,l10n_cn.l10n_chart_china_small_business,FALSE
l10n_cn_6901,以前年度损益调整,6901,account.data_account_type_expenses,l10n_cn.l10n_chart_china_small_business,FALSE
